reduced test : 88, coverage : 0.9100817438692098, cross entropy : 0.20820440680775912, accuracy : 0.8068181818181818
reduced test : 89, coverage : 0.9100817438692098, cross entropy : 0.2024181049827006, accuracy : 0.8089887640449438
reduced test : 90, coverage : 0.9100817438692098, cross entropy : 0.1990088896926222, accuracy : 0.8111111111111111
reduced test : 91, coverage : 0.9100817438692098, cross entropy : 0.19692572726246385, accuracy : 0.8131868131868132
reduced test : 92, coverage : 0.9100817438692098, cross entropy : 0.19635180393968812, accuracy : 0.8152173913043478
reduced test : 93, coverage : 0.9100817438692098, cross entropy : 0.1944232709374717, accuracy : 0.8172043010752689
reduced test : 94, coverage : 0.9100817438692098, cross entropy : 0.19045303462467594, accuracy : 0.8191489361702128
reduced test : 95, coverage : 0.9100817438692098, cross entropy : 0.18614168920163415, accuracy : 0.8210526315789474
reduced test : 96, coverage : 0.9100817438692098, cross entropy : 0.18343667511314107, accuracy : 0.8229166666666666
reduced test : 97, coverage : 0.9100817438692098, cross entropy : 0.1827704198308108, accuracy : 0.8247422680412371
reduced test : 98, coverage : 0.9100817438692098, cross entropy : 0.18154325291358822, accuracy : 0.8163265306122449
reduced test : 99, coverage : 0.9100817438692098, cross entropy : 0.1751623622561239, accuracy : 0.8181818181818182
reduced test : 100, coverage : 0.9100817438692098, cross entropy : 0.17393006814943826, accuracy : 0.82
reduced test : 101, coverage : 0.9100817438692098, cross entropy : 0.16867367425517132, accuracy : 0.8217821782178217
reduced test : 102, coverage : 0.9100817438692098, cross entropy : 0.16442141333462226, accuracy : 0.8235294117647058
reduced test : 103, coverage : 0.9100817438692098, cross entropy : 0.15902638084959886, accuracy : 0.8252427184466019
reduced test : 104, coverage : 0.9100817438692098, cross entropy : 0.15425465607750385, accuracy : 0.8269230769230769
reduced test : 105, coverage : 0.9100817438692098, cross entropy : 0.14957881500604048, accuracy : 0.8285714285714286
reduced test : 106, coverage : 0.9100817438692098, cross entropy : 0.14386486677601196, accuracy : 0.8301886792452831
reduced test : 107, coverage : 0.9100817438692098, cross entropy : 0.13968671036688518, accuracy : 0.8317757009345794
reduced test : 108, coverage : 0.9100817438692098, cross entropy : 0.13641781868027505, accuracy : 0.8333333333333334
reduced test : 109, coverage : 0.9100817438692098, cross entropy : 0.13464551372070746, accuracy : 0.8348623853211009
reduced test : 110, coverage : 0.9100817438692098, cross entropy : 0.12984343398968487, accuracy : 0.8272727272727273
reduced test : 111, coverage : 0.9100817438692098, cross entropy : 0.12516846582248595, accuracy : 0.8288288288288288
reduced test : 112, coverage : 0.9100817438692098, cross entropy : 0.12141662616564103, accuracy : 0.8303571428571429
reduced test : 113, coverage : 0.9100817438692098, cross entropy : 0.117935909447903, accuracy : 0.831858407079646
reduced test : 114, coverage : 0.9100817438692098, cross entropy : 0.1153888341226001, accuracy : 0.8333333333333334
reduced test : 115, coverage : 0.9100817438692098, cross entropy : 0.11357121429453736, accuracy : 0.8347826086956521
reduced test : 116, coverage : 0.9100817438692098, cross entropy : 0.11504309008078045, accuracy : 0.8362068965517241
reduced test : 117, coverage : 0.9100817438692098, cross entropy : 0.11255605306421626, accuracy : 0.8376068376068376
reduced test : 118, coverage : 0.9100817438692098, cross entropy : 0.11046800108032695, accuracy : 0.8389830508474576
reduced test : 119, coverage : 0.9100817438692098, cross entropy : 0.10795436637245945, accuracy : 0.8403361344537815
reduced test : 120, coverage : 0.9100817438692098, cross entropy : 0.10619017274296329, accuracy : 0.8416666666666667
reduced test : 121, coverage : 0.9100817438692098, cross entropy : 0.10246053650614219, accuracy : 0.8429752066115702
reduced test : 122, coverage : 0.9100817438692098, cross entropy : 0.10342751903186198, accuracy : 0.8442622950819673
reduced test : 123, coverage : 0.9100817438692098, cross entropy : 0.10102626928257533, accuracy : 0.8455284552845529
reduced test : 124, coverage : 0.9100817438692098, cross entropy : 0.10106291023672183, accuracy : 0.8467741935483871
reduced test : 125, coverage : 0.9100817438692098, cross entropy : 0.10005114033556332, accuracy : 0.848
reduced test : 126, coverage : 0.9100817438692098, cross entropy : 0.09710373281666156, accuracy : 0.8492063492063492
reduced test : 127, coverage : 0.9100817438692098, cross entropy : 0.09528350862535483, accuracy : 0.8503937007874016
reduced test : 128, coverage : 0.9100817438692098, cross entropy : 0.09200818308843114, accuracy : 0.8515625
reduced test : 129, coverage : 0.9100817438692098, cross entropy : 0.09065000840429009, accuracy : 0.8527131782945736
reduced test : 130, coverage : 0.9100817438692098, cross entropy : 0.08922293384128609, accuracy : 0.8538461538461538
reduced test : 131, coverage : 0.9100817438692098, cross entropy : 0.0866916210239832, accuracy : 0.8549618320610687
reduced test : 132, coverage : 0.9100817438692098, cross entropy : 0.0861195297070553, accuracy : 0.8560606060606061
reduced test : 133, coverage : 0.9100817438692098, cross entropy : 0.08430886115094795, accuracy : 0.8571428571428571
reduced test : 134, coverage : 0.9100817438692098, cross entropy : 0.08254519171210502, accuracy : 0.8582089552238806
reduced test : 135, coverage : 0.9100817438692098, cross entropy : 0.08125161119274153, accuracy : 0.8592592592592593
reduced test : 136, coverage : 0.9100817438692098, cross entropy : 0.08131963969395987, accuracy : 0.8602941176470589
reduced test : 137, coverage : 0.9100817438692098, cross entropy : 0.07955935803335541, accuracy : 0.8540145985401459
reduced test : 138, coverage : 0.9100817438692098, cross entropy : 0.07848318814844082, accuracy : 0.855072463768116
reduced test : 139, coverage : 0.9100817438692098, cross entropy : 0.07866130027973184, accuracy : 0.8561151079136691
reduced test : 140, coverage : 0.9100817438692098, cross entropy : 0.0770503445077621, accuracy : 0.8571428571428571
reduced test : 141, coverage : 0.9100817438692098, cross entropy : 0.07616421059870095, accuracy : 0.8581560283687943
reduced test : 142, coverage : 0.9100817438692098, cross entropy : 0.07550687817063541, accuracy : 0.8591549295774648
reduced test : 143, coverage : 0.9100817438692098, cross entropy : 0.07414711201054376, accuracy : 0.8601398601398601
reduced test : 144, coverage : 0.9100817438692098, cross entropy : 0.07339308793718338, accuracy : 0.8611111111111112
reduced test : 145, coverage : 0.9100817438692098, cross entropy : 0.07256499360009049, accuracy : 0.8620689655172413
reduced test : 146, coverage : 0.9100817438692098, cross entropy : 0.07191362981235515, accuracy : 0.863013698630137
reduced test : 147, coverage : 0.9100817438692098, cross entropy : 0.07098170007833078, accuracy : 0.8639455782312925
reduced test : 148, coverage : 0.9100817438692098, cross entropy : 0.07013731556824995, accuracy : 0.8648648648648649
reduced test : 149, coverage : 0.9100817438692098, cross entropy : 0.06989747819896834, accuracy : 0.8657718120805369
reduced test : 150, coverage : 0.9100817438692098, cross entropy : 0.06858437620650923, accuracy : 0.86
reduced test : 151, coverage : 0.9100817438692098, cross entropy : 0.06776695536678015, accuracy : 0.8609271523178808
reduced test : 152, coverage : 0.9100817438692098, cross entropy : 0.06657126776644579, accuracy : 0.8618421052631579
reduced test : 153, coverage : 0.9100817438692098, cross entropy : 0.06551830178062205, accuracy : 0.8627450980392157
reduced test : 154, coverage : 0.9100817438692098, cross entropy : 0.06334415266947865, accuracy : 0.8636363636363636
reduced test : 155, coverage : 0.9100817438692098, cross entropy : 0.06224470773327533, accuracy : 0.864516129032258
reduced test : 156, coverage : 0.9100817438692098, cross entropy : 0.061234436433284856, accuracy : 0.8653846153846154
reduced test : 157, coverage : 0.9100817438692098, cross entropy : 0.0603826675912008, accuracy : 0.8662420382165605
reduced test : 158, coverage : 0.9100817438692098, cross entropy : 0.0595359539037046, accuracy : 0.8670886075949367
reduced test : 159, coverage : 0.9100817438692098, cross entropy : 0.05862922138009141, accuracy : 0.8679245283018868
reduced test : 160, coverage : 0.9100817438692098, cross entropy : 0.05759783589367755, accuracy : 0.86875
reduced test : 161, coverage : 0.9100817438692098, cross entropy : 0.05677287544956249, accuracy : 0.8633540372670807
reduced test : 162, coverage : 0.9100817438692098, cross entropy : 0.05610006635314904, accuracy : 0.8641975308641975
reduced test : 163, coverage : 0.9100817438692098, cross entropy : 0.05554803062985462, accuracy : 0.8650306748466258
reduced test : 164, coverage : 0.9100817438692098, cross entropy : 0.055838582462896455, accuracy : 0.8658536585365854
reduced test : 165, coverage : 0.9100817438692098, cross entropy : 0.05523029207598753, accuracy : 0.8666666666666667
reduced test : 166, coverage : 0.9100817438692098, cross entropy : 0.05461540539063223, accuracy : 0.8614457831325302
reduced test : 167, coverage : 0.9100817438692098, cross entropy : 0.05369745930101448, accuracy : 0.8622754491017964
reduced test : 168, coverage : 0.9100817438692098, cross entropy : 0.05341512465701279, accuracy : 0.8630952380952381
reduced test : 169, coverage : 0.9100817438692098, cross entropy : 0.052940996940364055, accuracy : 0.863905325443787
reduced test : 170, coverage : 0.9100817438692098, cross entropy : 0.05265056676509308, accuracy : 0.8647058823529412
reduced test : 171, coverage : 0.9100817438692098, cross entropy : 0.05217850415020015, accuracy : 0.8654970760233918
reduced test : 172, coverage : 0.9100817438692098, cross entropy : 0.05161603618121549, accuracy : 0.8662790697674418
reduced test : 173, coverage : 0.9100817438692098, cross entropy : 0.05088088997790002, accuracy : 0.8670520231213873
reduced test : 174, coverage : 0.9100817438692098, cross entropy : 0.05048204730156188, accuracy : 0.867816091954023
reduced test : 175, coverage : 0.9100817438692098, cross entropy : 0.04987561522665707, accuracy : 0.8628571428571429
reduced test : 176, coverage : 0.9100817438692098, cross entropy : 0.04937646781732917, accuracy : 0.8636363636363636
reduced test : 177, coverage : 0.9100817438692098, cross entropy : 0.04912800151776949, accuracy : 0.864406779661017
reduced test : 178, coverage : 0.9100817438692098, cross entropy : 0.04922265480958706, accuracy : 0.8651685393258427
reduced test : 179, coverage : 0.9100817438692098, cross entropy : 0.04872280227665535, accuracy : 0.8603351955307262
reduced test : 180, coverage : 0.9100817438692098, cross entropy : 0.04799347040349997, accuracy : 0.8611111111111112
reduced test : 181, coverage : 0.9100817438692098, cross entropy : 0.04762288934219192, accuracy : 0.861878453038674
reduced test : 182, coverage : 0.9100817438692098, cross entropy : 0.04676831486480933, accuracy : 0.8626373626373627
reduced test : 183, coverage : 0.9100817438692098, cross entropy : 0.04610460640581966, accuracy : 0.8579234972677595
reduced test : 184, coverage : 0.9100817438692098, cross entropy : 0.04548357003414941, accuracy : 0.8586956521739131
reduced test : 185, coverage : 0.9100817438692098, cross entropy : 0.04461924113289952, accuracy : 0.8594594594594595
reduced test : 186, coverage : 0.9100817438692098, cross entropy : 0.04366538079906375, accuracy : 0.8602150537634409
reduced test : 187, coverage : 0.9100817438692098, cross entropy : 0.04329988839856966, accuracy : 0.8609625668449198
reduced test : 188, coverage : 0.9100817438692098, cross entropy : 0.04283560695194585, accuracy : 0.8617021276595744
reduced test : 189, coverage : 0.9100817438692098, cross entropy : 0.04245326101615299, accuracy : 0.8624338624338624
reduced test : 190, coverage : 0.9100817438692098, cross entropy : 0.042178628165810646, accuracy : 0.8631578947368421
reduced test : 191, coverage : 0.9100817438692098, cross entropy : 0.041779495644017735, accuracy : 0.8638743455497382
reduced test : 192, coverage : 0.9100817438692098, cross entropy : 0.04131284085525887, accuracy : 0.8645833333333334
reduced test : 193, coverage : 0.9100817438692098, cross entropy : 0.04108274085167802, accuracy : 0.8652849740932642
reduced test : 194, coverage : 0.9100817438692098, cross entropy : 0.04057643769915198, accuracy : 0.865979381443299
reduced test : 195, coverage : 0.9100817438692098, cross entropy : 0.03993550583369786, accuracy : 0.8666666666666667
reduced test : 196, coverage : 0.9100817438692098, cross entropy : 0.03966051105947057, accuracy : 0.8673469387755102
reduced test : 197, coverage : 0.9100817438692098, cross entropy : 0.039086704177248036, accuracy : 0.8629441624365483
reduced test : 198, coverage : 0.9100817438692098, cross entropy : 0.0395783428735941, accuracy : 0.8636363636363636
reduced test : 199, coverage : 0.9100817438692098, cross entropy : 0.03922940531690203, accuracy : 0.864321608040201
reduced test : 200, coverage : 0.9100817438692098, cross entropy : 0.038780023067345876, accuracy : 0.865
reduced test : 201, coverage : 0.9100817438692098, cross entropy : 0.03835952221649554, accuracy : 0.8656716417910447
reduced test : 202, coverage : 0.9100817438692098, cross entropy : 0.03809834761363309, accuracy : 0.8663366336633663
reduced test : 203, coverage : 0.9100817438692098, cross entropy : 0.03736203353326954, accuracy : 0.8669950738916257
reduced test : 204, coverage : 0.9100817438692098, cross entropy : 0.037079169907576516, accuracy : 0.8676470588235294
reduced test : 205, coverage : 0.9100817438692098, cross entropy : 0.03666982543965864, accuracy : 0.8682926829268293
reduced test : 206, coverage : 0.9100817438692098, cross entropy : 0.03644928516064574, accuracy : 0.8640776699029126
reduced test : 207, coverage : 0.9100817438692098, cross entropy : 0.03571749808990245, accuracy : 0.8647342995169082
reduced test : 208, coverage : 0.9100817438692098, cross entropy : 0.03540893546220651, accuracy : 0.8653846153846154
reduced test : 209, coverage : 0.9100817438692098, cross entropy : 0.035111791000647194, accuracy : 0.8660287081339713
reduced test : 210, coverage : 0.9100817438692098, cross entropy : 0.03474619149579687, accuracy : 0.8666666666666667
reduced test : 211, coverage : 0.9100817438692098, cross entropy : 0.03425832188856861, accuracy : 0.8672985781990521
reduced test : 212, coverage : 0.9100817438692098, cross entropy : 0.033898662265149516, accuracy : 0.8632075471698113
reduced test : 213, coverage : 0.9100817438692098, cross entropy : 0.03341311612825142, accuracy : 0.863849765258216
reduced test : 214, coverage : 0.9100817438692098, cross entropy : 0.03354199738520785, accuracy : 0.8644859813084113
reduced test : 215, coverage : 0.9100817438692098, cross entropy : 0.03306257736272851, accuracy : 0.8651162790697674
reduced test : 216, coverage : 0.9100817438692098, cross entropy : 0.03296851057068092, accuracy : 0.8657407407407407
reduced test : 217, coverage : 0.9100817438692098, cross entropy : 0.032595140906517744, accuracy : 0.8617511520737328
reduced test : 218, coverage : 0.9100817438692098, cross entropy : 0.03226578312923093, accuracy : 0.8623853211009175
reduced test : 219, coverage : 0.9100817438692098, cross entropy : 0.031944975008545214, accuracy : 0.863013698630137
reduced test : 220, coverage : 0.9100817438692098, cross entropy : 0.03175659051985062, accuracy : 0.8636363636363636
reduced test : 221, coverage : 0.9100817438692098, cross entropy : 0.031655902725875665, accuracy : 0.8642533936651584
reduced test : 222, coverage : 0.9100817438692098, cross entropy : 0.031671729737809705, accuracy : 0.8648648648648649
reduced test : 223, coverage : 0.9100817438692098, cross entropy : 0.031199166603089263, accuracy : 0.8654708520179372
reduced test : 224, coverage : 0.9100817438692098, cross entropy : 0.03094375849379124, accuracy : 0.8616071428571429
reduced test : 225, coverage : 0.9100817438692098, cross entropy : 0.030800311383608146, accuracy : 0.8622222222222222
reduced test : 226, coverage : 0.9100817438692098, cross entropy : 0.030583724429311412, accuracy : 0.8628318584070797
reduced test : 227, coverage : 0.9100817438692098, cross entropy : 0.030513674450063734, accuracy : 0.8634361233480177
reduced test : 228, coverage : 0.9100817438692098, cross entropy : 0.03057664188174474, accuracy : 0.8596491228070176
reduced test : 229, coverage : 0.9100817438692098, cross entropy : 0.030273443868506295, accuracy : 0.8558951965065502
reduced test : 230, coverage : 0.9100817438692098, cross entropy : 0.030016921485584203, accuracy : 0.8565217391304348
reduced test : 231, coverage : 0.9100817438692098, cross entropy : 0.02976301590815803, accuracy : 0.8571428571428571
reduced test : 232, coverage : 0.9100817438692098, cross entropy : 0.029526740222830954, accuracy : 0.8577586206896551
reduced test : 233, coverage : 0.9100817438692098, cross entropy : 0.02934831671355222, accuracy : 0.8583690987124464
reduced test : 234, coverage : 0.9100817438692098, cross entropy : 0.030118209825429686, accuracy : 0.8547008547008547
reduced test : 235, coverage : 0.9100817438692098, cross entropy : 0.029780888862759404, accuracy : 0.8553191489361702
reduced test : 236, coverage : 0.9100817438692098, cross entropy : 0.029580600252676965, accuracy : 0.8559322033898306
reduced test : 237, coverage : 0.9100817438692098, cross entropy : 0.029372196057746987, accuracy : 0.8565400843881856
reduced test : 238, coverage : 0.9100817438692098, cross entropy : 0.029027802829641056, accuracy : 0.8571428571428571
reduced test : 239, coverage : 0.9100817438692098, cross entropy : 0.028830205927853944, accuracy : 0.8577405857740585
reduced test : 240, coverage : 0.9100817438692098, cross entropy : 0.028687537209837983, accuracy : 0.8583333333333333
reduced test : 241, coverage : 0.9100817438692098, cross entropy : 0.028484405169494877, accuracy : 0.8589211618257261
reduced test : 242, coverage : 0.9100817438692098, cross entropy : 0.028280608073920546, accuracy : 0.859504132231405
reduced test : 243, coverage : 0.9100817438692098, cross entropy : 0.028029505139957646, accuracy : 0.8600823045267489
reduced test : 244, coverage : 0.9100817438692098, cross entropy : 0.027854003556677102, accuracy : 0.860655737704918
