reduced test : 79, coverage : 0.9048582995951417, cross entropy : 0.04758374585407446, accuracy : 1.0
reduced test : 80, coverage : 0.9048582995951417, cross entropy : 0.048472622838233594, accuracy : 1.0
reduced test : 81, coverage : 0.9048582995951417, cross entropy : 0.04763554173061332, accuracy : 1.0
reduced test : 82, coverage : 0.9048582995951417, cross entropy : 0.046781476619405, accuracy : 1.0
reduced test : 83, coverage : 0.9048582995951417, cross entropy : 0.04552333125470405, accuracy : 1.0
reduced test : 84, coverage : 0.9048582995951417, cross entropy : 0.04474250029619498, accuracy : 1.0
reduced test : 85, coverage : 0.9048582995951417, cross entropy : 0.04403897130661638, accuracy : 1.0
reduced test : 86, coverage : 0.9048582995951417, cross entropy : 0.04248110242531831, accuracy : 1.0
reduced test : 87, coverage : 0.9048582995951417, cross entropy : 0.0411951640235552, accuracy : 1.0
reduced test : 88, coverage : 0.9048582995951417, cross entropy : 0.040591036670848346, accuracy : 1.0
reduced test : 89, coverage : 0.9048582995951417, cross entropy : 0.04023654585819859, accuracy : 1.0
reduced test : 90, coverage : 0.9048582995951417, cross entropy : 0.03923935081599837, accuracy : 1.0
reduced test : 91, coverage : 0.9048582995951417, cross entropy : 0.038046599024555136, accuracy : 1.0
reduced test : 92, coverage : 0.9048582995951417, cross entropy : 0.03661985466414043, accuracy : 1.0
reduced test : 93, coverage : 0.9048582995951417, cross entropy : 0.03601667665495633, accuracy : 1.0
reduced test : 94, coverage : 0.9048582995951417, cross entropy : 0.035088282255625054, accuracy : 1.0
reduced test : 95, coverage : 0.9048582995951417, cross entropy : 0.03450093452355273, accuracy : 1.0
reduced test : 96, coverage : 0.9048582995951417, cross entropy : 0.03405531518524911, accuracy : 1.0
reduced test : 97, coverage : 0.9048582995951417, cross entropy : 0.03299569092808094, accuracy : 1.0
reduced test : 98, coverage : 0.9048582995951417, cross entropy : 0.03318254236287548, accuracy : 1.0
reduced test : 99, coverage : 0.9048582995951417, cross entropy : 0.03214216749174158, accuracy : 1.0
reduced test : 100, coverage : 0.9048582995951417, cross entropy : 0.03277134182765404, accuracy : 1.0
reduced test : 101, coverage : 0.9048582995951417, cross entropy : 0.03269095199897554, accuracy : 1.0
reduced test : 102, coverage : 0.9048582995951417, cross entropy : 0.032252999262534596, accuracy : 1.0
reduced test : 103, coverage : 0.9048582995951417, cross entropy : 0.03182983421937362, accuracy : 1.0
